imdbID,movieTitle,released,rating,Budget,GrossDomestic,GrossWorldWide,director
tt2059171,"13 Sins",2014-04-18,6.3,4000000,9134,47552,"Daniel Stamm"
tt0046672,"20,000 Leagues Under the Sea",1954-12-23,7,5000000,28200000,28200000,"Richard Fleischer"
tt0137338,"200 Cigarettes",1999-02-26,5.9,6000000,6852450,6852450,"Risa Bramon Garcia"
tt0109015,"3 Ninjas Kick Back",1994-05-06,5,20000000,11744960,11744960,"Charles T. Kanganis"
tt0343660,"50 First Dates",2004-02-13,6.7,75000000,120776832,196320329,"Peter Segal"
tt0118541,"8 Heads in a Duffel Bag",1997-04-18,5.1,3000000,3602884,4002884,"Tom Schulman"
tt0090568,"8 Million Ways to Die",1986-04-25,5.5,18000000,1305114,1305114,"Hal Ashby"
tt6359956,"A Bad Moms Christmas",2017-11-01,6.3,28000000,72110659,127710550,"Jon Lucas, Scott Moore"
tt1554091,"A Better Life",2011-06-24,7.1,10000000,1759252,1884251,"Chris Weitz"
tt0075784,"A Bridge Too Far",1977-06-15,7.2,26000000,50800000,50800000,"Richard Attenborough"
tt0104257,"A Few Good Men",1992-12-11,7.4,33000000,141340178,236500000,"Rob Reiner"
tt0266465,"A Man Apart",2003-04-04,5.9,36000000,26500000,43797731,"F. Gary Gray"
tt0060665,"A Man for All Seasons",1966-12-12,7.6,3900000,28350000,28350000,"Fred Zinnemann"
tt0310281,"A Mighty Wind",2003-04-16,6.9,6000000,17583468,18504539,"Christopher Guest"
tt1972571,"A Most Wanted Man",2014-07-25,6.5,15000000,17237855,36068890,"Anton Corbijn"
tt0093629,"A Nightmare on Elm Street 3: Dream Warriors",1987-02-27,6.6,5000000,44793222,44793222,"Chuck Russell"
tt0095742,"A Nightmare on Elm Street 4: The Dream Master",1988-08-19,5.8,13000000,49369899,49369899,"Renny Harlin"
tt0087892,"A Passage to India",1984-12-14,6.9,27500000,27187653,27187653,"David Lean"
tt1019452,"A Serious Man",2009-10-02,6.7,7000000,9228788,30360570,"Ethan Coen, Joel Coen"
tt0117913,"A Time to Kill",1996-07-24,7.2,40000000,108766007,152266007,"Joel Schumacher"
tt0090264,"A View to a Kill",1985-05-24,6.2,30000000,50327960,152627960,"John Glen"
tt1826590,"About Last Night",2014-02-14,6,13000000,48637684,50445860,"Steve Pink"
tt0118548,"Absolute Power",1997-02-14,6.6,50000000,50068310,50068310,"Clint Eastwood"
tt0445922,"Across the Universe",2007-09-14,7.3,45000000,24343673,29367143,"Julie Taymor"
tt1591479,"Act of Valor",2012-02-24,6.3,12000000,70012847,82497035,"Mike McCoy, Scott Waugh"
tt6495770,"Action Point",2018-06-01,5.2,19000000,5059608,5103675,"Tim Kirkby"
tt0367479,"After the Sunset",2004-11-12,6.2,57000000,28328132,38329114,"Brett Ratner"
tt0358349,"Agent Cody Banks 2: Destination London",2004-03-12,5.1,26000000,23514247,28703083,"Kevin Allen"
tt0118570,"Air Bud",1997-08-01,5.3,3000000,24646936,27788649,"Charles Martin Smith"
tt0029852,"Alexander's Ragtime Band",1938-05-24,6.7,2000000,4000000,4000000,"Henry King"
tt0090605,Aliens,1986-07-18,7.9,17000000,85160248,183316455,"James Cameron"
tt0775552,"Aliens in the Attic",2009-07-31,5.4,45000000,25200412,59551283,"John Schultz"
tt1175709,"All Good Things",2010-12-03,6,20000000,582024,873617,"Andrew Jarecki"
tt4663548,"All Saints",2017-08-25,6.1,2000000,5802208,5941994,"Steve Gomer"
tt4649416,"Almost Christmas",2016-11-11,5.6,17000000,42065185,42493506,"David E. Talbert"
tt0181875,"Almost Famous",2000-09-15,7.5,60000000,32522352,47371191,"Cameron Crowe"
tt0369226,"Alone in the Dark",2005-01-28,3.2,20000000,5178569,10588079,"Uwe Boll"
tt0164334,"Along Came a Spider",2001-04-06,6.3,28000000,74058698,105159085,"Lee Tamahori"
tt4244998,Alpha,2018-08-17,6,51000000,35851379,99624873,"Albert Hughes"
tt0305206,"American Splendor",2003-08-15,7.3,2000000,6003587,8685632,"Shari Springer Berman, Robert Pulcini"
tt0328828,"American Wedding",2003-08-01,6.1,55000000,104354205,126425115,"Jesse Dylan"
tt0289848,"Analyze That",2002-12-06,5.7,60000000,32122249,54994757,"Harold Ramis"
tt0122933,"Analyze This",1999-03-05,6.4,30000000,106885658,176885658,"Harold Ramis"
tt0305224,"Anger Management",2003-04-11,6,56000000,135560942,195660942,"Peter Segal"
tt1823664,Annie,2014-12-19,6.1,65000000,85911262,139829625,"Will Gluck"
tt3333870,Antibirth,2016-09-02,4.8,2500000,0,0,"Danny Perez"
tt0168786,"Antwone Fisher",2002-12-19,6.9,12500000,21078145,23367586,"Denzel Washington"
tt0149691,"Anywhere But Here",1999-11-12,6.2,23000000,18653615,18653615,"Wayne Wang"
tt0090655,"April Fool's Day",1986-03-27,5.7,5000000,12947763,12947763,"Fred Walton"
tt0455326,"Aqua Teen Hunger Force Colon Movie Film for Theaters",2007-04-13,6.4,750000,5520368,5520368,"Matt Maiellaro, Dave Willis"
tt0429591,Aquamarine,2006-03-03,5.9,12000000,18597342,22978953,"Elizabeth Allen Rosenbaum"
tt1764183,Arbitrage,2012-09-14,6.2,12000000,7919574,35830713,"Nicholas Jarecki"
tt0120591,Armageddon,1998-07-01,6.7,140000000,201578182,554600000,"Michael Bay"
tt0112401,Assassins,1995-10-06,6.2,50000000,30306268,83306268,"Richard Donner"
tt0466856,ATL,2006-03-31,6.8,17000000,21170563,21170563,"Chris Robinson"
tt0426931,"August Rush",2007-11-21,7.3,25000000,31664162,65882103,"Kirsten Sheridan"
tt0118655,"Austin Powers: International Man of Mystery",1997-05-02,6.5,18000000,53883989,67683989,"Jay Roach"
tt0174480,"Autumn in New York",2000-08-11,6,40000000,37752931,90717684,"Joan Chen"
tt1176740,"Away We Go",2009-06-05,6.8,21000000,9451946,10108016,"Sam Mendes"
tt0120595,"Babe: Pig in the City",1998-11-25,5.4,80000000,18319860,69131860,"George Miller"
tt3890160,"Baby Driver",2017-06-28,7.4,34000000,107825862,228104185,"Edgar Wright"
tt0118665,"Baby Geniuses",1999-03-12,3.7,13000000,27151490,27151490,"Bob Clark"
tt0172156,"Bad Boys II",2003-07-18,6.4,130000000,138540870,273271982,"Michael Bay"
tt0307987,"Bad Santa",2003-11-26,6.5,18000000,60060328,77147031,"Terry Zwigoff"
tt0219965,Bandits,2001-10-12,6.3,75000000,41523271,71523271,"Barry Levinson"
tt0101414,"Beauty and the Beast",1991-11-13,7.7,20000000,206333165,438707031,"Gary Trousdale, Kirk Wise"
tt0490084,"Because I Said So",2007-02-02,6,39000000,42674040,69538833,"Michael Lehmann"
tt0317132,"Because of Winn-Dixie",2005-02-18,6.2,15000000,32647042,33508485,"Wayne Wang"
