director,nummovies,Wavgprofit
"Paul Greengrass",12,35607327.7843512
"M. Night Shyamalan",8,28435836.624715105
"James Cameron",14,10989751.783835327
"Michael Bay",8,8396892.344286991
"John Woo",10,8037717.206073605
"Steven Spielberg",6,6027748.63332675
"Martin Scorsese",8,5430644.798629336
"Louis Leterrier",4,5395088.957554656
"Peter Faiman",4,4679904.002754073
"Peter Farrelly",4,4395364.47916416
"Peter Weir",6,4164002.63622874
"Michael Caton-Jones",8,4109959.3482423318
"John Glen",6,4042679.6361588
"Stuart Baird",8,3931381.041170752
"Sharon Maguire",4,3758638.9973418964
"Peter Berg",4,3708314.654802252
"Ted Kotcheff",6,3666359.14255512
"Barry Levinson",8,3614354.4765238557
"Rob Minkoff",8,3518689.07418756
"Jason Reitman",4,3288645.587905224
"Michael Mann",8,3169234.686807878
"Nancy Meyers",4,3145021.0204946822
"Oliver Stone",6,2839270.98622383
"Steven Soderbergh",4,2348717.5236
"Terry Gilliam",14,2226519.370323264
"David S. Goyer",6,2187466.78114995
"Gary Winick",6,2081840.471975
"Bryan Singer",4,2081832.07740078
"Ken Kwapis",4,2066719.875007884
"Harold Ramis",6,1931063.11191859
"Rob Reiner",4,1901940.24182934
"Jerry Zucker",6,1726200.24024636
"Peter Segal",4,1605252.52996206
"Roland Emmerich",4,1542856.8636
"Frank Marshall",4,1494832.447383996
"Kevin Donovan",6,1464712.78026375
"Adam Shankman",4,1425547.76395383
"Evan Goldberg, Seth Rogen",4,1385188.2767534042
"Peter Lepeniotis",4,1355750.1721915922
"William Shatner",6,1325274.6060000001
"Steve Oedekerk",6,1305298.59680883
"John G. Avildsen",4,1213414.549602696
"Bill Holderman",4,1191355.960188708
"Yorgos Lanthimos",4,1158610.691390328
"Thor Freudenthal",4,1093856.820326898
"Sean Anders",4,1051079.487410256
"Mike McCoy, Scott Waugh",4,1032923.4027844201
"Paul Feig",2,941875.114513046
"Forest Whitaker",8,936207.548082352
"Kevin Munroe",4,895179.5888882161
"Ron Howard",4,882502.975798068
"Spike Lee",12,871473.41607288
"Brad Silberling",2,832600.3546
"Christopher Landon",4,808608.249246276
"Gus Van Sant",6,788415.39058107
"Brian De Palma",4,751215.3072534481
"Deon Taylor",6,713628.9467624
"Albert Hughes",4,712452.222694476
"Edgar Wright",2,711004.01786337
"Jeannot Szwarc",2,691942.455088752
"Stephen Kay",4,691470.336382308
"Peter Lord, Nick Park",2,680563.48223283
"David Moreau, Xavier Palud",4,667805.9597131801
"Darren Grant",4,658730.371612272
"Ivan Reitman",2,644688.352
"Andrew Fleming",8,627331.54717532
"David M. Rosenthal",4,619460.1955699921
"Alexandre Aja",4,618616.679239152
"Ethan Coen, Joel Coen",4,617738.78928816
"Robert Luketic",2,612816.230938814
"Eli Roth",6,612394.39543395
"Steven Caple Jr.",2,599236.072269044
"Penelope Spheeris",2,597425.820343646
"William Friedkin",4,570824.175069084
"Sanaa Hamri",6,569344.92678093
"Lawrence Guterman",2,515384.38139999995
"David Bowers",4,507727.168174626
"Rawson Marshall Thurber",2,504731.287335408
"Kevin Smith",4,497419.17736638
