director,nummovies,Wavg
"James Cameron",14,0.9597068982857144
"Terry Gilliam",14,0.8131867611428573
"Paul Greengrass",12,0.807692235
"Spike Lee",12,0.7326006666666668
"John Woo",10,0.5879120778
"John Frankenheimer",10,0.5805860706
"M. Night Shyamalan",8,0.527472504
"Barry Levinson",8,0.527472504
"Martin Scorsese",8,0.5219779987500001
"Michael Mann",8,0.5219779987499998
"F. Gary Gray",8,0.51282049
"Michael Bay",8,0.46886444799999993
"Michael Caton-Jones",8,0.44688642700000003
"Stuart Baird",8,0.44688642700000003
"Rob Minkoff",8,0.43956042
"Forest Whitaker",8,0.43589741649999997
"John Moore",8,0.43223441299999993
"Andrew Fleming",8,0.4175823990000001
"Peter Weir",6,0.412087875
"Oliver Stone",6,0.40842487166666674
"Ted Kotcheff",6,0.401098865
"John Bonito",8,0.3956043779999999
"Philip Kaufman",8,0.388278371
"Steven Spielberg",6,0.3809523466666667
"John Ford",6,0.368131835
"Woody Allen",6,0.368131835
"Gary Winick",6,0.36446883166666666
"Jack Smight",6,0.36263733000000004
"Richard Lester",6,0.36263733000000004
"Wayne Wang",6,0.36263733000000004
"Steve Oedekerk",6,0.357142825
"Matthew Bright",6,0.357142825
"Tony Bill",6,0.35164831999999996
"Mimi Leder",6,0.34981681833333333
"Ridley Scott",6,0.34615381500000003
"Harold Ramis",6,0.34432231333333335
"David Koepp",6,0.34432231333333335
"Brett Ratner",6,0.34065931
"Gary McKendry",6,0.34065931
"John Glen",6,0.34065931
"Sanaa Hamri",6,0.34065931
"Antoine Fuqua",6,0.3296703
"Jerry Zucker",6,0.3296703
"Eli Roth",6,0.324175795
"Gus Van Sant",6,0.32051279166666663
"Jim McBride",6,0.31868129
"Robert Ben Garant",6,0.31868129
"David S. Goyer",6,0.313186785
"William Shatner",6,0.313186785
"David Gordon Green",6,0.313186785
"Deon Taylor",6,0.31318678499999997
"Peter Farrelly",4,0.304029249
"Kevin Donovan",6,0.302197775
"Hugh Wilson",6,0.302197775
"George Miller",6,0.29670326999999996
"Dolph Lundgren",6,0.29120876500000004
"Alfred Hitchcock",4,0.289377237
"Brian De Palma",4,0.285714234
"Norman Jewison",4,0.285714234
"Ron Howard",4,0.282051231
"Kevin Allen",6,0.28021975500000007
"Sean Anders",4,0.278388228
"William Friedkin",4,0.278388228
"Yorgos Lanthimos",4,0.278388228
"Charles T. Kanganis",6,0.27472525000000003
"Todd Solondz",4,0.274725225
"John Madden",4,0.274725225
"Alan Parker",4,0.271062222
"Albert Hughes, Allen Hughes",4,0.271062222
"Brett Haley",4,0.271062222
"Miranda July",4,0.263736216
"Milos Forman",4,0.263736216
"Joel Coen, Ethan Coen",4,0.263736216
