director,AVG(rating),sumprofit,nummovies
"Aaron Horvath, Peter Rida Michail",7,41620593,1
"Aaron Seltzer, Jason Friedberg(co-director)",3.8,65146165,1
"Adam Marcus",4.3,12935068,1
"Adam McKay",6.75,176099222,2
"Adam Shankman",5.8,269602635,3
"Akiva Schaffer",6.3,-10665599,1
"Alan Cohn",5.7,1064948,1
"Alan Parker",7.4,-21079812,1
"Alan Poul",6,40281179,1
"Albert Hughes",6,48624873,1
"Albert Hughes, Allen Hughes",7.4,24231527,1
"Alejandro G. Iñárritu",7.4,397938302,1
"Alex Kendrick",7,32973297,1
"Alex Kurtzman",6.8,-3382528,1
"Alex Proyas",7.4,257061,1
"Alexander Payne",5.949999999999999,-4834175,2
"Alexandre Aja",6.1,42220596,1
"Alfonso Gomez-Rejon",7.6,1266180,1
"Alfred Hitchcock",7.45,28264742,2
"Ali Abbas Zafar",7.1,61989781,1
"Allen Coulter",7,40506120,1
"Andrew Davis",6.45,314924651,2
"Andrew Fleming",5.7,10703845,1
"Andrew Haigh",7,-5544973,1
"Andrew Jarecki",6,-19126383,1
"Andrew Mogel, Jarrad Paul",4.6,-2227634,1
"Andrey Konchalovskiy",5.5,-69533984,1
"Andrzej Bartkowiak",5.8,31434942,1
"Ang Lee",6.5,-34369221,1
"Angelina Jolie",6.75,86037017,2
"Annabel Jankel, Rocky Morton",4.1,-21155093,1
"Anne Fletcher",5.6,10671512,1
"Antoine Fuqua",6,-10964259,1
"Anton Corbijn",6.5,21068890,1
"Anurag Basu, Sunil Subramani",5.9,7955193,1
"Barbra Streisand",6.699999999999999,44055068,2
"Barry Levinson",6.525,95275246,4
"Barry W. Blaustein",7.7,1547570,1
"Bart Freundlich",5.3,-1040386,1
"Ben Affleck",6.2,-43225568,1
"Ben Falcone",5.2,76407655,1
"Ben Stassen, Mimi Maynard",4.3,18530281,1
"Ben Stiller",6.2,32780981,1
"Benni Diez",5.1,-2500000,1
"Bibo Bergeron, Don Paul, Jeffrey Katzenberg",7.1,-29300000,1
"Bill Holderman",6.1,81310059,1
"Billy Wilder",7.7,9750000,1
"Bo Welch",5.1,24818283,1
"Boaz Yakin",7.199999999999999,130364840,2
"Bob Clark",3.7,14151490,1
"Bob Saget",6.4,-2979919,1
"Bobby Farrelly, Peter Farrelly",6.5,347884651,1
"Bonnie Hunt",6.3,8662299,1
"Boots Riley",6.9,15085560,1
"Brad Silberling",5.800000000000001,196848641,2
"Brandon Camp",5.9,18133014,1
"Breck Eisner",6.2,37445534,1
"Brendan Malloy, Emmett Malloy",5.8,3786394,1
