director,AVG(rating),sumprofit,nummovies
"Aaron Seltzer, Jason Friedberg(co-director)",3.8,130292330,2
"Adam Shankman",5.75,389174610,4
"Akiva Schaffer",6.3,-42662396,4
"Alan Parker",7.4,-84319248,4
"Alan Poul",6,80562358,2
"Albert Hughes",6,194499492,4
"Albert Hughes, Allen Hughes",7.4,96926108,4
"Alex Kendrick",7,65946594,2
"Alex Kurtzman",6.8,-6765056,2
"Alexander Payne",5.1,-54148116,4
"Alexandre Aja",6.1,168882384,4
"Alfred Hitchcock",7.9,89858968,4
"Andrew Fleming",5.700000000000001,85630760,8
"Andrew Mogel, Jarrad Paul",4.6,-8910536,4
"Angelina Jolie",7.4,197055648,2
"Annabel Jankel, Rocky Morton",4.1,-84620372,4
"Antoine Fuqua",6,-65785554,6
"Anton Corbijn",6.5,42137780,2
"Anurag Basu, Sunil Subramani",5.9,31820772,4
"Barbra Streisand",6.8,-2930124,4
"Barry Levinson",7.199999999999999,493359408,8
"Bart Freundlich",5.3,-4161544,4
"Ben Falcone",5.2,152815310,2
"Ben Stassen, Mimi Maynard",4.3,37060562,2
"Ben Stiller",6.2,65561962,2
"Benni Diez",5.1,-5000000,2
"Bill Holderman",6.1,325240236,4
"Billy Wilder",7.7,19500000,2
"Bob Clark",3.7,28302980,2
"Brad Silberling",6.2,454600000,2
"Brett Haley",7.4,1683848,4
"Brett Leonard",5.5,-24007096,4
"Brett Ratner",6.2,-112025316,6
"Brian De Palma",7.8,205081816,4
"Brian Percival",7.5,114173422,2
"Bryan Singer",5.5,568340260,4
"Carroll Ballard",7.1,70199286,2
"Catherine Hardwicke",5.8,-3942272,2
"Charles Herman-Wurmfeld",5.4,200678176,2
"Charles T. Kanganis",5,-49530240,6
"Charlie Kaufman",7.6,-31232924,2
"Chris Koch",5,98905854,2
"Chris Nahon",6.6,47333892,4
"Chris Robinson",6.8,16682252,4
"Chris Rock",5.5,6167530,2
"Chris Weitz",7.1,-16231498,2
"Christopher Erskin",4.6,38573518,2
"Christopher Landon",6.2,220750092,4
"Christopher Nolan",6.9,135244998,2
"Chuck Russell",6.6,79586444,2
"Clark Gregg",6.2,2897108,4
"Clint Eastwood",6.4,-39684252,4
"Colin Higgins",6,98403274,2
"Colin Trevorrow",6.9,14689272,4
"Craig R. Baxley",5.8,-62854744,4
"Damon Santostefano",5.6,-18859250,2
"Dan Gilroy",5.3,-42000000,2
"Daniel Barnz",6.3,-26508994,2
"Daniel Stamm",6.3,-7904896,2
"Danny DeVito",6.1,-59858698,2
"Darren Grant",6.5,179833424,4
"David Bowers",6.05,138609542,4
"David Cronenberg",7,21532000,2
"David E. Talbert",5.6,101974024,4
"David Fincher",8.4,71703410,2
"David Gordon Green",5.7,-97684640,6
"David Koepp",6.266666666666667,5489260,6
"David Lean",7.6,202072646,2
"David Lynch",6.4,-70210116,4
"David M. Rosenthal",5.7,169112664,4
"David Mirkin",5.9,39507650,2
"David Moreau, Xavier Palud",5.6,182311060,4
